GeneAcc,HKR1T1,LIR1T1,HKR2T1,LIR2T1,UIR1T1,LIR3T1,HKR1T2,LIR1T2,HKR2T2,LIR2T2,UIR1T2,LIR3T2,HKR1T3,LIR1T3,HKR2T3,LIR2T3,UIR1T3,LIR3T3
24234688,508160.933704041,430865.391845703,709074.621187044,627832.809204102,870772.877333351,761661.246826172,299562.090862203,216488.636230469,411265.498294386,347096.859619141,496003.640269946,417496.687011719,190397.89315912,133871.129882813,261228.338491277,226754.428710938,287718.457954671,249651.673339844
613410229,10286547.3572252,14096306.5439453,9883340.36455388,6665361.13818359,22109643.8119485,20289650.6352539,6348128.05168275,8548736.39599609,5764050.74634059,4182154.66796875,13801877.454246,12808666.9111328,8153087.91132672,10610517.4726562,7972066.48546097,5504779.14501953,16705288.8279821,15044839.6835938
167614506,2489885.9369902,1423048.8762207,2551425.07369165,1587486.33129883,1761925.6232176,1258298.35839844,1543883.96867292,849892.584716797,1638399.45881226,940451.41394043,1166168.0688356,804428.430419922,1208951.12537287,660039.157348633,1421090.82459692,736404.406494141,931837.217615719,578089.437988281
4504311,28504712.3459663,29568520.7905273,18334301.5476982,12538928.0925293,26215720.105175,44311931.1572266,18203473.3080297,18625196.777832,12069563.5312474,7119602.98510742,12900459.8126398,22429272.5551758,20482281.7838652,21319693.4453125,15011817.0043956,8154985.23193359,15915093.7581044,27121291.0766602
4504523,3733034.08324275,3744077.8515625,4443369.8588007,6865475.29296875,8278003.89701557,6774703.65625,2570173.99045637,2665377.96728516,2971535.97697851,4824191.16894531,5849027.91002809,4761620.59960937,2362502.38500789,2473081.47900391,2829841.45127115,4229355.47167969,5312680.49551924,4313938.80957031
10716563,1078547.91907254,1075964.44042969,683646.475988622,1597211.31640625,1609973.81433105,2082943.234375,408463.003224644,556075.626953125,271189.091068348,815376.216796875,696800.299298337,921571.806640625,781308.302371847,1003242.37194824,496269.977370822,1278911.21972656,1249679.09427875,1575395.36621094
4758950,2729930.73935735,1667220.57128906,4979143.29403831,4210247.55664062,1280364.40817424,739566.084960937,2126768.20322999,1306732.60009766,3618957.90629158,3120948.83398438,673735.47639219,490173.446411133,2456078.00951841,1332359.15039063,4359089.43563836,3831307.13330078,712095.711797266,515382.881958008
4503143,7856735.42753476,5462222.390625,7963435.29972903,6653470.88183594,6642229.15094535,3683230.82861328,3427235.55571176,2478261.13671875,3311037.90181669,2702852.359375,2662384.01406123,1494771.8737793,3938830.49781365,2709901.42578125,4205644.99683381,3259125.9921875,3171272.89775109,1757830.09814453
19923748,1547018.87558586,1690491.94726563,1552769.33864278,1232698.10400391,4286549.2024236,4633917.62304688,1236384.97324859,1308277.85400391,1001900.94156604,823631.421020508,3304210.49577969,3645767.11328125,1077378.31674764,1166079.55664062,889836.158066928,748737.713867188,2856842.8378498,3125177.40234375
4502013,1081415.02519939,975782.887207031,1605619.0557094,1991298.65039063,1202638.15656665,943545.68359375,575387.051979193,534315.911132813,910780.312682885,1015471.375,632585.440815949,472069.090820312,1039344.9956095,1033709.05273438,1584569.16857967,1970052.55664063,1418365.82101234,1153102.5546875
5902076,607378.616449286,452855.08178711,669567.117605459,656890.538940429,958314.697695093,567862.486572266,530094.131495072,406305.233642578,632350.940144514,500671.88684082,740432.281079399,456729.177124023,486740.371777697,366311.705932617,624504.703962961,478235.623168945,718883.789429159,413401.393066406
31712030,3418949.64983711,3796921.09960937,1496051.6173758,3598292.92529297,6470836.17070388,6441099.68164063,2380110.87981305,2658916.6640625,904906.872626113,2606482.05273438,4681924.83206335,4848819.18359375,2604128.81127755,3071388.92480469,1216007.25668131,2816264.43554688,5894236.07811186,5910638.08984375
32189394,1354284.08932822,1553226.05029297,966540.437398141,1899513.09765625,1221213.68524615,1851461.7421875,617294.837860101,744502.021728516,460523.201694446,897427.936523437,668740.077283856,1069591.79589844,615667.268729326,759676.402832031,482433.339599165,939841.911376953,626814.401376362,1023884.27270508
190358517,3461197.89953931,5086031.43261719,1723253.34352579,2404004.19238281,9288780.65731331,9730740.88867188,1712614.21475306,2403357.96630859,991822.576975398,1265573.67663574,4361896.22500332,4493188.07568359,1329599.2236876,1873055.23486328,874706.03283261,1075939.43212891,3479945.86188566,3481948.87084961
10864011,548608.276405042,724469.533203125,1047289.53680588,764060.320068359,1880910.62074134,1702367.08398437,351988.126408487,484102.580078125,552867.798780871,438809.258789062,1214397.52790861,1199896.48339844,124263.996512761,183465.438720703,201662.034898321,173102.900146484,518648.446411391,520737.474609375
14043072,59165.9620240101,52363.0495605469,81863.4153361447,112129.877441406,113650.795056991,117616.236816406,85985.3507608425,106157.900756836,156213.03864148,137119.839111328,160561.866244281,131167.260009766,99223.8188103123,101585.200073242,117556.49348392,182937.203369141,187318.513855714,202157.463745117
91199540,1540232.63733818,1928035.25830078,862446.155345149,1599443.46142578,2475240.16309367,2828015.14257813,532171.754571892,691428.987304688,304254.933919068,450419.302734375,794621.735009341,841952.229492188,1222111.99968532,1519431.97167969,662078.402378381,1055500.64746094,1722261.03868255,1913483.13916016
226529917,1339649.18698955,725807.09765625,1026693.77006777,873361.584960938,477790.50902159,272145.425292969,763002.115925206,394302.982910156,572131.625043608,434797.706542969,301497.047876236,165488.908935547,697603.967196953,386945.019775391,497989.544321414,420796.236328125,330898.145702763,199858.715576172
4503139,5938115.04717484,4382245.63452148,4877784.59743701,4472362.50830078,4072528.26856197,2205243.18457031,3201137.76619555,2255046.33691406,2599458.09981589,2403573.05053711,2025370.27324007,1063027.11669922,3678053.01583374,2590880.10766602,2947966.92817423,2792760.21386719,2496266.93078579,1330487.99633789
213511508,2693492.29744618,2593186.86035156,791532.688845313,3626371.4375,3923469.8562584,5108351.421875,2459545.6910411,2334344.27246094,749365.521539273,3154494.22753906,3653086.67733912,4472498.54296875,2949066.19863415,3319617.63085938,1054501.9119326,3684432.33544922,4655645.26712724,5364424.43652344
51873036,308630.051157729,411993.081054688,281061.702554746,315144.1171875,1448313.96374181,1749310.26171875,140730.585906721,184770.948974609,132296.068359892,139284.99597168,694745.495011187,835955.672363281,254916.501761561,306858.985961914,177195.499678506,253358.125,789581.355869396,1025219.60742188
4503483,375985.889497075,289941.327148437,778526.699948635,432999.736328125,450142.750941572,448642.86328125,174657.469694902,149040.957519531,332573.950325283,196869.674804688,243701.319022176,227492.981933594,140033.745169655,112350.879638672,250537.802616077,159212.618164063,202744.483908834,182379.065429688
208973244,2425531.53054333,1571512.36523438,3718528.38216101,1897552.421875,2442608.12839568,1307584.51171875,1756301.30552265,1126762.43615723,2749412.60571949,1425672.95605469,1821983.6450224,1003277.1875,1984491.48583203,1284885.89868164,3326017.49430523,1623641.81103516,2471584.01160337,1314301.97912598
4506031,1707835.44999594,1331620.37207031,1202479.30090827,1108957.40429688,1424508.25722247,1116081.37402344,1341641.04516132,980442.700683594,937570.184201172,826846.05078125,1113349.13942678,708729.243408203,1383587.65145388,931559.645996094,946628.589290042,936630.313964844,912508.45117492,607009.931152344
118402586,3328478.81016492,2399724.52441406,2302686.08923608,1874393.04589844,1611515.75488656,960453.439453125,1085727.75939541,641730.69140625,820642.615247567,605236.24609375,547723.217572791,303148.520019531,642618.836646135,398368.571289063,502230.354847102,343041.57421875,343835.600764205,187394.736328125
32455266,1506409.72308465,1081240.50683594,2394638.13664177,1822725.20507813,1416386.91756482,1225049.53613281,760316.230805591,529764.660644531,1039153.93985818,725317.0859375,755522.280355816,571324.601806641,640639.395620959,448744.478515625,662005.818859536,545812.426757812,650652.726899954,461252.256591797
4502101,254989.650732615,266545.41796875,465439.203377607,690468.758789063,177803.613700395,273903.486816406,211123.043271881,242967.819580078,396449.771142922,593465.635253906,147443.076885799,233310.253173828,138242.581423863,147113.947753906,260352.957091735,389620.841796875,86828.2916083361,129880.818847656
4557395,306861.69194606,197473.80078125,1347431.3359469,248992.221679688,271778.235384014,151017.581787109,300566.170195049,284683.79296875,693066.028182495,293379.461181641,447331.271880265,396141.708251953,178558.291290066,126203.407226563,439720.532011147,185932.916748047,205294.868129669,128096.157226563
544186032,1908486.08332093,1425164.43676758,762497.610043219,2843324.71179199,1433352.65473339,1383184.11813354,1121157.29458765,841262.520507813,562900.902525833,1676376.75299072,715713.135624065,699101.831726074,1164125.2604005,870327.229492188,1191475.23670653,1992290.12213135,810237.843764376,786011.26550293
972781703,625991.266675583,748033.896484375,596864.7348306,1253775.77929688,1615865.59379656,2419012.6015625,176581.823643773,228780.023925781,141199.061940319,319997.966796875,450433.406249749,641024.572265625,212482.132363424,244024.978027344,163349.726891356,347386.152099609,478161.556629641,642695.631835937
316659409,79475475.4100375,83267604.0897827,79849139.5590608,81374663.8438721,83769461.3837675,118018168.977295,42748704.8292471,43302693.5808105,44812415.2351453,44105652.3104248,43619664.860985,61122114.0986328,51187565.496795,54397402.2095337,52309440.6388156,55150794.9052734,56508812.6449556,76675169.6953125
34147513,4826471.08954413,5589233.45800781,3802581.92845691,4558142.875,7523986.49998533,6388238.2421875,1889000.45703757,2091310.69628906,1363204.77404245,1739276.6171875,2974826.2752373,2642895.14648438,1615832.71211645,1826234.46875,1203241.38613687,1644845.69628906,2795354.23189199,2487228.57519531
110224476,5167365.43674292,3483100.60107422,7812268.49723973,6748940.83203125,1415470.58148008,636783.524414063,3075748.60400404,2197289.49414063,4683563.91896412,3938302.2734375,921797.388331609,468592.365722656,2557733.84144852,1860059.38378906,4164287.61853714,3333700.34179688,866176.730547271,478063.660400391
4504981,1727926.50640339,1187737.16796875,4907652.17413048,1045939.07226562,1188969.55036452,941555.200195313,1388629.61938397,923048.810546875,3803261.81129142,675735.534179688,1063591.1753269,818030.075195313,1596225.31087182,1105189.69726563,4022231.78679413,826415.640136719,1433439.00425553,1109668.09179688
5031635,5387160.09844946,4102510.46972656,6292991.86256957,4202630.68652344,6437880.48155175,4698952.41943359,3185471.90190444,2292269.51318359,3616630.1351043,2274413.828125,3645568.69844764,2518339.64990234,2920181.69645465,2118392.94042969,3749241.91044941,2221345.70117188,3293624.13178503,2253908.90771484
183076548,16244694.8439642,18729627.6777344,10934741.2354136,4743970.80419922,17570335.9733076,26011161.6269531,11380263.2584713,12397947.8066406,7512747.84404836,2895653.93798828,11385067.6222452,16444611.3339844,13230320.013078,14267043.4140625,10371739.5470445,3223414.96386719,13317540.3041963,18984612.8730469
7669492,2203430.21031704,1468179.91259766,3288279.91075927,1725314.73876953,1025907.70604843,942450.022827149,1421488.76226786,907425.253173828,2060240.28778948,1089150.13427734,730276.702689932,765877.648193359,1969055.6751835,1252551.07055664,3120165.80571491,1594009.09985352,929868.303143566,827675.068481446
4506365,2940506.14921303,3539925.64648438,2073001.98910159,2482349.69726563,8051187.63200846,6438655.66015625,1832364.97371755,2190078.41357422,1284355.15643476,1540384.96533203,5132221.58580388,4220070.44287109,1631453.98057211,1957646.71191406,1238462.91271037,1382097.29638672,4810517.47358753,3776529.734375
