GeneAcc,ProteinAcc,GeneSymbol
10800130,NP_066409.1,HIST1H2AD
344217737,NP_001230694.1,RABGAP1L
32189392,NP_005800.3,PRDX2
87196339,NP_001839.2,COL6A1
17105394,NP_000975.2,RPL23A
4502303,NP_001688.1,ATP5O
24308295,NP_079472.1,GRPEL1
63162572,NP_005989.3,CCT3
262527242,NP_757345.2,TAPBP
4504183,NP_000843.1,GSTP1
7705696,NP_056997.1,TXNDC12
4506621,NP_000978.1; NP_001302459.1; NP_001302460.1,RPL26
167234422,NP_005326.2,HCLS1
4506265,NP_000954.1,PTGS2
256985160,NP_001157994.1; NP_796377.3,RAB7B
22165433,NP_665876.1; NP_001265337.1; NP_001148.1; NP_001265336.1; NP_665875.1,ANXA11
4506685,NP_001008.1,RPS13
20270243,NP_612468.1,NUS1
148613856,NP_001091974.1,DDX17
291084742,NP_001166925.1,PDHA1
13236587,NP_077310.1,TMEM43
40254924,NP_060979.2,LRRC59
4507149,NP_000445.1,SOD1
7657104,NP_056529.1,G0S2
4507217,NP_003124.1,SRP9
17158044,NP_001001.2,RPS6
17017988,NP_001853.2,COX5B
5729770,NP_000382.3,TPP1
7705855,NP_057226.1,HSD17B12
31542303,NP_057090.2,ABHD5
4757826,NP_004039.1,B2M
27262628,NP_002473.2,NASP
219555707,NP_001137232.1,EIF5A
51477700,NP_001003891.1,MED15
46852147,NP_060530.3,IARS2
556695502,NP_001273345.1,SUMO3
21361547,NP_002930.2; NP_976317.1; NP_976318.1; NP_976319.1; NP_976320.1; NP_976321.1; NP_976322.1; NP_976323.1,RNH1
5231228,NP_003721.2,RNASET2
33946329,NP_005393.2,RALA
543583697,NP_001269533.1,PTGES3
11056061,NP_066932.1,TMSB4X
20544151,NP_057671.2; NP_009207.2,CBX3
21956645,NP_665807.1,MTPN
767900757,XP_011507206.1,LOC102724023
386869503,NP_001247435.1,RPS3
4503481,NP_001395.1,EEF1G
4504347,NP_000549.1; NP_000508.1,HBA1
4758484,NP_004823.1,GSTO1
4505145,NP_002387.1,ME2
27477072,NP_066286.1; NP_001001437.2,CCL3L1
25282469,NP_742034.1,RDH10
16933546,NP_444505.1; NP_000993.1,RPLP0
6912238,NP_036226.1,PRDX5
